,sample,density,wood,keepit,year,label
376,163.0,0.294013,0,0,2016.0,VF3
377,163.0,0.296986,0,0,2016.0,VF3
378,163.0,0.297908,0,0,2016.0,VF3
379,163.0,0.299039,0,0,2016.0,VF3
380,163.0,0.29196,0,0,2016.0,VF3
381,163.0,0.293723,0,0,2016.0,VF3
382,163.0,0.309908,1,0,2016.0,VF3
383,163.0,0.318987,1,0,2016.0,VF3
384,163.0,0.325566,1,0,2016.0,VF3
385,163.0,0.32925,1,0,2016.0,VF3
386,163.0,0.324092,1,0,2016.0,VF3
387,163.0,0.323882,1,0,2016.0,VF3
388,163.0,0.324224,1,0,2016.0,VF3
389,163.0,0.331461,1,0,2016.0,VF3
390,163.0,0.330671,1,0,2016.0,VF3
391,163.0,0.328987,1,0,2016.0,VF3
392,163.0,0.332803,1,0,2016.0,VF3
393,163.0,0.333935,1,0,2016.0,VF3
394,163.0,0.336698,1,0,2016.0,VF3
395,163.0,0.336356,1,0,2016.0,VF3
396,163.0,0.336987,1,0,2016.0,VF3
397,163.0,0.34104,1,0,2016.0,VF3
398,163.0,0.339408,1,0,2016.0,VF3
399,163.0,0.339672,1,0,2016.0,VF3
400,163.0,0.332013,1,0,2016.0,VF3
401,163.0,0.328408,1,0,2016.0,VF3
402,163.0,0.320671,1,0,2016.0,VF3
403,163.0,0.317487,1,0,2016.0,VF3
404,163.0,0.314303,1,0,2016.0,VF3
405,163.0,0.315434,1,0,2016.0,VF3
406,163.0,0.322592,1,0,2016.0,VF3
407,163.0,0.322592,1,0,2016.0,VF3
408,163.0,0.327698,1,0,2016.0,VF3
409,163.0,0.323171,0,0,2017.0,VF3
410,163.0,0.319329,0,0,2017.0,VF3
411,163.0,0.31854,0,0,2017.0,VF3
412,163.0,0.320118,0,0,2017.0,VF3
413,163.0,0.321303,0,0,2017.0,VF3
414,163.0,0.321303,0,0,2017.0,VF3
415,163.0,0.321092,0,0,2017.0,VF3
416,163.0,0.321092,0,0,2017.0,VF3
417,163.0,0.323171,0,0,2017.0,VF3
418,163.0,0.323513,0,0,2017.0,VF3
419,163.0,0.324803,0,0,2017.0,VF3
420,163.0,0.321592,0,0,2017.0,VF3
421,163.0,0.320671,0,0,2017.0,VF3
422,163.0,0.323592,0,0,2017.0,VF3
423,163.0,0.324092,0,0,2017.0,VF3
424,163.0,0.320961,0,0,2017.0,VF3
425,163.0,0.322382,0,0,2017.0,VF3
426,163.0,0.325013,0,0,2017.0,VF3
427,163.0,0.325855,0,0,2017.0,VF3
428,163.0,0.325013,0,0,2017.0,VF3
429,163.0,0.332171,0,0,2017.0,VF3
430,163.0,0.336066,0,0,2017.0,VF3
431,163.0,0.339619,0,0,2017.0,VF3
432,163.0,0.34004,0,0,2017.0,VF3
433,163.0,0.344777,1,0,2017.0,VF3
434,163.0,0.352593,1,0,2017.0,VF3
435,163.0,0.357567,1,0,2017.0,VF3
436,163.0,0.357567,1,0,2017.0,VF3
437,163.0,0.355567,1,0,2017.0,VF3
438,163.0,0.358119,1,0,2017.0,VF3
439,163.0,0.361172,1,0,2017.0,VF3
440,163.0,0.363146,1,0,2017.0,VF3
441,163.0,0.373093,1,0,2017.0,VF3
442,163.0,0.37862,1,0,2017.0,VF3
443,163.0,0.378699,1,0,2017.0,VF3
444,163.0,0.375778,1,0,2017.0,VF3
445,163.0,0.375435,1,0,2017.0,VF3
446,163.0,0.37762,1,0,2017.0,VF3
447,163.0,0.382383,1,0,2017.0,VF3
448,163.0,0.382383,1,0,2017.0,VF3
449,163.0,0.383646,1,0,2017.0,VF3
450,163.0,0.379883,1,0,2017.0,VF3
451,163.0,0.37962,1,0,2017.0,VF3
452,163.0,0.37933,1,0,2017.0,VF3
453,163.0,0.383515,1,0,2017.0,VF3
454,163.0,0.385067,1,0,2017.0,VF3
455,163.0,0.384278,1,0,2017.0,VF3
456,163.0,0.384015,1,0,2017.0,VF3
457,163.0,0.385436,1,0,2017.0,VF3
458,163.0,0.38662,1,0,2017.0,VF3
459,163.0,0.385067,1,0,2017.0,VF3
460,163.0,0.383304,1,0,2017.0,VF3
461,163.0,0.384436,1,0,2017.0,VF3
462,163.0,0.382883,1,0,2017.0,VF3
463,163.0,0.37962,1,0,2017.0,VF3
464,163.0,0.376199,1,0,2017.0,VF3
465,163.0,0.376199,1,0,2017.0,VF3
466,163.0,0.373646,1,0,2017.0,VF3
467,163.0,0.36883,1,0,2017.0,VF3
468,163.0,0.365225,1,0,2017.0,VF3
